,index,epoch,low,high,open,close,volume
0,299,1627430400,27934.31,29500.0,28420.8,28770.97,2331.24715646
1,298,1627516800,28188.0,29119.99,28760.58,28668.11,1082.273238
2,297,1627603200,27412.33,30250.0,28662.68,30185.6,1775.36793271
3,296,1627689600,29200.61,30320.0,30185.59,29580.0,781.29200392
4,295,1627776000,28410.0,30310.12,29585.0,28709.85,1175.17425455
5,294,1627862400,27858.14,29079.64,28714.48,28172.35,1485.47712876
6,293,1627948800,27040.0,28620.0,28194.07,27438.64,1254.84462551
7,292,1628035200,26926.16,28783.84,27429.78,28610.52,1050.00676877
8,291,1628121600,26845.0,29681.77,28601.37,29286.0,1816.79491047
9,290,1628208000,28585.0,31208.37,29286.0,30800.08,1523.46630735
10,289,1628294400,30538.55,32161.59,30843.9,31899.13,1317.96334248
11,288,1628380800,28929.69,32432.43,31910.0,31216.47,1566.49889855
12,287,1628467200,30694.73,33450.0,31204.85,33314.63,1281.70082074
13,286,1628553600,32269.27,33600.0,33294.76,32938.27,858.46636236
14,285,1628640000,32768.24,33744.21,32939.85,32861.81,1009.42291948
15,284,1628726400,31624.19,33330.4,32858.56,32129.39,1574.73586241
16,283,1628812800,31984.44,34483.32,32130.68,34395.6,1442.04583227
17,282,1628899200,33155.54,34613.33,34412.96,33962.84,858.21644174
18,281,1628985600,32821.88,34145.0,33956.66,33878.66,960.93165123
19,280,1629072000,33002.5,34580.0,33881.69,33181.66,712.01839268
20,279,1629158400,32336.1,34165.0,33171.46,32531.12,1132.51459164
21,278,1629244800,32200.13,33446.58,32529.33,32533.43,998.55922602
22,277,1629331200,32036.55,34434.76,32531.11,34249.13,989.34525005
23,276,1629417600,33835.63,36048.55,34237.94,36041.46,724.56507398
24,275,1629504000,35343.33,36371.53,36041.49,35753.83,507.51912939
25,274,1629590400,35280.01,36306.34,35755.14,36119.8,400.93063445
26,273,1629676800,35750.47,36999.0,36127.24,36114.46,733.3313936
27,272,1629763200,34710.01,36375.0,36094.85,34778.54,1268.11721954
28,271,1629849600,34364.05,35810.0,34751.6,35621.67,794.76710052
29,270,1629936000,33713.78,35879.17,35597.4,34190.44,1017.51987565
30,269,1630022400,33867.79,35762.37,34196.01,35674.4,693.52091265
31,268,1630108800,35162.59,35822.66,35663.3,35552.38,373.33613625
32,267,1630195200,34746.05,36075.24,35562.7,35458.34,492.9370323
33,266,1630281600,34073.05,35545.0,35447.03,34141.91,661.04605543
34,265,1630368000,33956.36,34999.89,34143.32,34263.64,807.32608953
35,264,1630454400,33865.57,35642.1,34257.53,35466.07,1133.34729607
36,263,1630540800,35312.71,36555.77,35463.6,35619.95,1110.70404434
37,262,1630627200,34951.9,36844.83,35616.61,36098.34,1248.72787413
38,261,1630713600,35700.0,36502.46,36097.75,36072.23,1079.88195138
39,260,1630800000,35732.87,37444.35,36062.77,37370.98,894.24637184
40,259,1630886400,36859.17,38180.54,37366.28,38095.12,878.39245162
41,258,1630972800,31011.0,38257.06,38092.16,34051.86,2746.4184783
42,257,1631059200,32300.0,34398.41,34080.31,33475.6,2102.29772485
43,256,1631145600,33023.97,34232.22,33475.6,33544.26,1308.58929443
44,255,1631232000,31917.29,34015.81,33546.52,32446.72,1304.5296446
45,254,1631318400,32375.34,33304.27,32443.15,32719.24,594.58527817
46,253,1631404800,32427.38,33607.53,32709.69,33292.15,557.02831071
47,252,1631491200,31416.92,33900.0,33292.25,32515.88,1432.68662426
48,251,1631577600,32314.26,34256.14,32512.03,34167.61,788.33326557
49,250,1631664000,33826.44,35037.07,34133.9,34772.4,662.24086028
50,249,1631750400,34095.01,35117.22,34775.44,34613.95,759.1440041
51,248,1631836800,34040.6,34892.74,34605.0,34430.0,586.67007075
52,247,1631923200,34263.55,35525.0,34430.0,35151.04,637.75816034
53,246,1632009600,34138.36,35205.0,35159.68,34417.72,529.46876921
54,245,1632096000,31100.0,34495.0,34422.18,31508.72,2830.68389811
55,244,1632182400,29000.0,31938.83,31508.72,29814.06,2266.42322949
56,243,1632268800,29716.8,32236.02,29821.26,32030.25,1504.28127488
57,242,1632355200,31655.24,32807.37,32027.47,32711.56,875.27276252
58,241,1632441600,29768.03,32958.89,32711.56,31352.24,1324.33553874
59,240,1632528000,30500.0,31467.9,31345.71,31269.61,462.44196962
60,239,1632614400,29923.1,32157.49,31274.45,31592.37,721.25499575
61,238,1632700800,30742.34,32449.09,31591.59,30792.53,879.57804168
62,237,1632787200,30211.44,31405.4,30775.74,30307.46,795.07081921
63,236,1632873600,30107.55,31579.8,30299.33,30934.38,454.64472103
64,235,1632960000,30850.23,32737.81,30932.54,32546.62,600.1542267
65,234,1633046400,32180.0,35805.0,32547.27,35543.63,1007.72391149
66,233,1633132800,35000.96,35700.0,35533.31,35214.95,496.11512265
67,232,1633219200,34815.0,36350.0,35221.44,35566.83,556.11080076
68,231,1633305600,34500.0,36477.64,35565.54,36185.97,719.32187508
69,230,1633392000,36016.05,38079.0,36182.87,37778.82,909.13135018
